Año,Mes_Num,Mes,Periodo,Total,Ilocalizable,No_Contesta,D_Incorrectos,Duplicados,Efectivos,Abiertos,Ventas,Conversion,Efectividad_Leads,Nivel_Efectividad
2024,2,Febrero,2024-02,543.0,108.0,33.0,0.0,1.0,389.0,1.0,12.0,3.1,72.0,Alta
2024,3,Marzo,2024-03,271.38,37.0,13.0,0.0,0.0,303.0,1.0,7.0,5.5,72.0,Alta
2024,4,Abril,2024-04,416.0,79.0,46.0,3.0,0.0,303.0,1.0,8.0,2.8,69.0,Media
2024,5,Mayo,2024-05,422.0,33.0,100.0,17.0,0.0,303.0,5.0,13.0,4.7,65.0,Media
2024,6,Junio,2024-06,967.0,140.0,173.0,31.0,3.0,620.0,17.0,6.0,1.0,64.0,Media
2024,7,Julio,2024-07,954.0,112.0,251.0,12.0,9.0,570.0,5.0,21.0,3.7,60.0,Media
2024,8,Agosto,2024-08,1409.0,319.25,324.0,17.0,18.0,546.0,22.0,17.0,3.1,39.0,Baja
2024,9,Septiembre,2024-09,1315.0,319.25,314.0,14.0,26.0,530.0,42.0,17.0,3.2,40.0,Baja
2024,10,Octubre,2024-10,1973.0,319.25,540.5,18.0,13.0,822.0,72.0,23.0,2.8,42.0,Baja
2024,11,Noviembre,2024-11,1562.0,153.0,321.0,44.0,4.0,999.0,79.0,22.0,2.1,67.0,Media
2024,12,Diciembre,2024-12,1282.0,319.25,193.0,60.0,53.0,965.0,330.0,32.0,3.3,75.0,Alta
2025,1,Enero,2025-01,1042.0,17.0,104.0,62.0,114.5,723.0,222.0,26.0,3.6,69.0,Media
2025,2,Febrero,2025-02,561.0,9.0,39.0,14.0,31.0,468.0,150.0,20.0,4.3,83.0,Alta
2025,3,Marzo,2025-03,925.0,39.0,98.0,3.0,54.0,731.0,125.0,30.0,4.1,79.0,Alta
2025,4,Abril,2025-04,1149.0,51.0,134.0,8.0,84.0,872.0,141.0,30.0,3.4,76.0,Alta
2025,5,Mayo,2025-05,815.0,5.0,75.0,2.0,14.0,574.0,179.0,34.0,5.9,70.0,Media
2025,6,Junio,2025-06,1083.0,62.0,266.0,5.0,56.0,694.0,315.0,40.0,5.8,64.0,Media
2025,7,Julio,2025-07,1358.0,128.0,241.0,3.0,93.0,893.0,290.0,36.0,4.0,66.0,Media
2025,8,Agosto,2025-08,1419.0,81.0,540.5,7.0,59.0,681.0,338.0,27.0,4.0,48.0,Baja
2025,9,Septiembre,2025-09,1100.0,32.0,401.0,9.0,18.0,660.0,229.0,38.0,5.8,60.0,Media
2025,10,Octubre,2025-10,1192.0,67.0,413.0,0.0,17.0,695.0,288.0,40.0,5.8,58.0,Media
2025,11,Noviembre,2025-11,1061.0,46.0,218.0,1.0,52.0,744.0,488.0,41.0,5.5,70.0,Media
2025,12,Diciembre,2025-12,1534.0,125.0,194.0,34.0,44.0,729.0,823.0,34.0,4.7,48.0,Baja
2026,1,Enero,2026-01,1516.0,148.0,187.0,52.0,53.0,714.0,602.0,37.0,5.2,47.0,Baja
2026,2,Febrero,2026-02,1235.0,116.0,106.0,8.0,31.0,730.0,523.0,30.0,4.1,59.0,Media
2026,3,Marzo,2026-03,1785.0,228.0,184.0,48.0,32.0,944.0,698.0,38.0,4.0,53.0,Baja
2026,4,Abril,2026-04,1393.0,212.0,123.0,38.0,28.0,724.0,559.0,41.0,5.7,52.0,Baja
2026,5,Mayo,2026-05,1251.0,158.0,116.0,25.0,19.0,736.0,458.0,35.0,4.8,59.0,Media
